zone;base;base-deges;base-citiz
1;0.0;-10.0;0.0
2;0.0;-10.0;0.0
3;0.0;-20.0;0.0
4;0.0;-10.0;0.0
5;0.0;-60.0;0.0
6;0.0;-190.0;0.0
7;0.0;-480.0;0.0
8;0.0;-640.0;-10.0
9;0.0;-520.0;-30.0
10;0.0;-690.0;-260.0
11;10.0;-580.0;-120.0
12;0.0;-720.0;-180.0
13;0.0;-920.0;-540.0
14;0.0;-650.0;-160.0
15;10.0;-800.0;-180.0
16;40.0;-840.0;-300.0
17;10.0;-960.0;-230.0
18;0.0;-900.0;-540.0
19;0.0;-1160.0;-570.0
20;0.0;-930.0;-350.0
21;0.0;-650.0;-250.0
22;0.0;-320.0;-10.0
23;0.0;-140.0;-10.0
24;0.0;-100.0;0.0
